draft_year,team_abbr,qb_name,pick_overall,position,top_10
2000,NYJ,Chad Pennington,18,QB,False
2001,ATL,Michael Vick,1,QB,True
2001,SDG,Drew Brees,32,QB,False
2002,HOU,David Carr,1,QB,True
2002,DET,Joey Harrington,3,QB,True
2002,WAS,Patrick Ramsey,32,QB,False
2003,CIN,Carson Palmer,1,QB,True
2003,JAX,Byron Leftwich,7,QB,True
2003,BAL,Kyle Boller,19,QB,False
2003,CHI,Rex Grossman,22,QB,False
2004,SDG,Eli Manning,1,QB,True
2004,NYG,Philip Rivers,4,QB,True
2004,PIT,Ben Roethlisberger,11,QB,False
2004,BUF,J.P. Losman,22,QB,False
2005,SFO,Alex Smith,1,QB,True
2005,GNB,Aaron Rodgers,24,QB,False
2005,WAS,Jason Campbell,25,QB,False
2006,TEN,Vince Young,3,QB,True
2006,ARI,Matt Leinart,10,QB,True
2006,DEN,Jay Cutler,11,QB,False
2007,OAK,JaMarcus Russell,1,QB,True
2007,CLE,Brady Quinn,22,QB,False
2008,ATL,Matt Ryan,3,QB,True
2008,BAL,Joe Flacco,18,QB,False
2009,DET,Matthew Stafford,1,QB,True
2009,NYJ,Mark Sanchez,5,QB,True
2009,TAM,Josh Freeman,17,QB,False
2010,STL,Sam Bradford,1,QB,True
2010,DEN,Tim Tebow,25,QB,False
2011,CAR,Cam Newton,1,QB,True
2011,TEN,Jake Locker,8,QB,True
2011,JAX,Blaine Gabbert,10,QB,True
2011,MIN,Christian Ponder,12,QB,False
2012,IND,Andrew Luck,1,QB,True
2012,WAS,Robert Griffin III,2,QB,True
2012,MIA,Ryan Tannehill,8,QB,True
2012,CLE,Brandon Weeden,22,QB,False
2013,BUF,EJ Manuel,16,QB,False
2014,JAX,Blake Bortles,3,QB,True
2014,CLE,Johnny Manziel,22,QB,False
2014,MIN,Teddy Bridgewater,32,QB,False
2015,TAM,Jameis Winston,1,QB,True
2015,TEN,Marcus Mariota,2,QB,True
2016,LAR,Jared Goff,1,QB,True
2016,PHI,Carson Wentz,2,QB,True
2016,DEN,Paxton Lynch,26,QB,False
2022,PIT,Kenny Pickett,20,QB,False
2021,JAX,Trevor Lawrence,1,QB,True
2021,NYJ,Zach Wilson,2,QB,True
2021,SFO,Trey Lance,3,QB,True
2021,CHI,Justin Fields,11,QB,False
2021,NWE,Mac Jones,15,QB,False
2020,CIN,Joe Burrow,1,QB,True
2020,MIA,Tua Tagovailoa,5,QB,True
2020,LAC,Justin Herbert,6,QB,True
2020,GNB,Jordan Love,26,QB,False
2019,ARI,Kyler Murray,1,QB,True
2019,NYG,Daniel Jones,6,QB,True
2019,WAS,Dwayne Haskins,15,QB,False
2018,CLE,Baker Mayfield,1,QB,True
2018,NYJ,Sam Darnold,3,QB,True
2018,BUF,Josh Allen,7,QB,True
2018,ARI,Josh Rosen,10,QB,True
2018,BAL,Lamar Jackson,32,QB,False
2017,CHI,Mitchell Trubisky,2,QB,True
2017,KAN,Patrick Mahomes,10,QB,True
2017,HOU,Deshaun Watson,12,QB,False
2023,CAR,Bryce Young,1,QB,True
2023,HOU,C.J. Stroud,2,QB,True
2023,IND,Anthony Richardson,4,QB,True
